ATRNOMECIDADE,ATRSIGLAESTADO,ATRDATAINICIO,ATRDATAFINAL,ATRDOMINGO,ATRSEGUNDA,ATRTERCA,ATRQUARTA,ATRQUINTA,ATRSEXTA,ATRSABADO
São Paulo,SP,20201207,20201207,S,S,S,S,S,S,S
São Paulo,SP,20201204,20201204,S,S,S,S,S,S,S
São Paulo,SP,20201203,20201203,S,S,S,S,S,S,S
São Paulo,SP,20201202,20201202,S,S,S,S,S,S,S
São Paulo,SP,20201201,20201201,S,S,S,S,S,S,S
São Paulo,SP,20201130,20201130,S,S,S,S,S,S,S
São Paulo,SP,20201127,20201127,S,S,S,S,S,S,S
São Paulo,SP,20201126,20201126,S,S,S,S,S,S,S
São Paulo,SP,20201125,20201125,S,S,S,S,S,S,S
São Paulo,SP,20201124,20201124,S,S,S,S,S,S,S
São Paulo,SP,20201123,20201123,S,S,S,S,S,S,S
São Paulo,SP,20201120,20201120,S,S,S,S,S,S,S
São Paulo,SP,20201119,20201119,S,S,S,S,S,S,S
São Paulo,SP,20201118,20201118,S,S,S,S,S,S,S
São Paulo,SP,20201117,20201117,S,S,S,S,S,S,S
São Paulo,SP,20201116,20201116,S,S,S,S,S,S,S
São Paulo,SP,20201113,20201113,S,S,S,S,S,S,S
São Paulo,SP,20201112,20201112,S,S,S,S,S,S,S
São Paulo,SP,20201111,20201111,S,S,S,S,S,S,S
São Paulo,SP,20201110,20201110,S,S,S,S,S,S,S
São Paulo,SP,20201109,20201109,S,S,S,S,S,S,S
São Paulo,SP,20201106,20201106,S,S,S,S,S,S,S
São Paulo,SP,20201105,20201105,S,S,S,S,S,S,S
São Paulo,SP,20201104,20201104,S,S,S,S,S,S,S
São Paulo,SP,20201103,20201103,S,S,S,S,S,S,S
São Paulo,SP,20210401,20211129,S,S,S,S,S,S,S
São Paulo,SP,20210101,20210331,S,S,S,S,S,S,S
São Paulo,SP,20200409,20201031,S,S,S,S,S,S,S
Guarulhos,SP,20211201,99991231,S,S,S,S,S,S,S
Guarulhos,SP,20201201,20201231,S,S,S,S,S,S,S
Guarulhos,SP,20201130,20201130,S,S,S,S,S,S,S
Guarulhos,SP,20201127,20201127,S,S,S,S,S,S,S
Guarulhos,SP,20201126,20201126,S,S,S,S,S,S,S
Guarulhos,SP,20201125,20201125,S,S,S,S,S,S,S
Guarulhos,SP,20201124,20201124,S,S,S,S,S,S,S
Guarulhos,SP,20201123,20201123,S,S,S,S,S,S,S
Guarulhos,SP,20201120,20201120,S,S,S,S,S,S,S
Guarulhos,SP,20201119,20201119,S,S,S,S,S,S,S
Guarulhos,SP,20201118,20201118,S,S,S,S,S,S,S
Guarulhos,SP,20201117,20201117,S,S,S,S,S,S,S
Guarulhos,SP,20201116,20201116,S,S,S,S,S,S,S
Guarulhos,SP,20201113,20201113,S,S,S,S,S,S,S
Guarulhos,SP,20201112,20201112,S,S,S,S,S,S,S
Guarulhos,SP,20201111,20201111,S,S,S,S,S,S,S
Guarulhos,SP,20201110,20201110,S,S,S,S,S,S,S
Guarulhos,SP,20201109,20201109,S,S,S,S,S,S,S
Guarulhos,SP,20201106,20201106,S,S,S,S,S,S,S
Guarulhos,SP,20201105,20201105,S,S,S,S,S,S,S
Guarulhos,SP,20201104,20201104,S,S,S,S,S,S,S
Guarulhos,SP,20201103,20201103,S,S,S,S,S,S,S
Guarulhos,SP,20210401,20211130,S,S,S,S,S,S,S
Guarulhos,SP,20210101,20210331,S,S,S,S,S,S,S
